EffectsizeID,StudyID,Age,Name_year,Article_num,Sample_Num,Items_num,g,vg,Grey_Lit,Design,Students,Retention_Interval,Intentionality,Transfer_Retention,Simultaneity,ZMean_within,ZMean_between,ZMean_complex,ZMean_fam,ZMean_cur,Spaced,Regression_Analysis,Regression_Analysis_With_Outlier,Regression_Analysis_IndependentStudies,Regression_Analysis_Students,Regression_Analysis_Visual,Regression_Analysis_Artifical,Regression_Analysis_RetentionInterval,Regression_Analysis_Simultaneity,Regression_Analysis_Age,Regression_Analysis_Spacing,Regression_Analysis_TransferRetention
81,49,20.57384615,Higgins & Ross (2011),5,4,2,-1.369652485,0.362188166,0,0,1,0,0,1,0,0.404853673,0.463655084,1.36706721,0.798923969,-0.301425137,-1,0,0,0,0,1,1,0,1,1,1,1
82,50,20.57384615,Kang & Pashler (2012),15,1,0,0.734315533,0.093799725,0,0,1,0,0,1,0,0.230311869,1.313823399,0.306086268,-0.188611761,-1.115657221,-1,0,0,0,0,0,1,0,1,1,1,1
83,51,20.57384615,Kang & Pashler (2012),15,2a,0,0.547918163,0.067448095,0,0,1,0,0,1,0,0.230311869,1.313823399,0.306086268,-0.188611761,-1.115657221,-1,0,0,0,0,0,1,0,0,1,1,1
84,51,20.57384615,Kang & Pashler (2012),15,2b,0,0.749246233,0.069624392,0,0,1,0,0,1,1,0.230311869,1.313823399,0.306086268,-0.188611761,-1.115657221,-1,0,0,1,0,0,1,0,0,1,1,1
85,52,20.57384615,Kornell & Bjork (2008),13,1,0,1.076491228,0.015706889,0,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,1,1,1
86,53,20.57384615,Kornell & Bjork (2008),13,2,0,1.151849068,0.063580821,0,0,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,1,1,1
87,54,20.57384615,Kornell & Bjork (2008),13,3,0,0.430641822,0.018801258,0,1,1,0,0,1,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,1,1,1
88,55,21,Kornell et al. (2010),24,1,0,0.538617886,0.037896824,0,1,1,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,0,0,0,0,0,1,0,1,0,1,1
89,56,77,Kornell et al. (2010),24,3,0,0.290324707,0.045020814,0,1,0,0,0,0,0,-0.610527743,0.255397019,-0.124691076,0.04695123,-0.653574147,-1,1,0,1,1,1,1,0,1,1,1,1
90,57,21,Kornell et al. (2010),24,2,0,0.352303523,0.035029322,0,1,1,0,0,0,0,-0.137519935,0.31302913,-0.117659342,0.179692754,-0.684431933,-1,0,0,1,0,0,1,0,1,0,1,1
91,58,77,Kornell et al. (2010),24,4,0,0.306173698,0.045238569,0,1,0,0,0,0,0,-0.137519935,0.417813279,-0.076041181,0.179692754,-0.684431933,-1,0,0,1,1,0,1,0,1,1,1,1
92,59,20.57384615,Lavis & Mitchell (2006),9,1,1,1.295775737,0.120262188,0,1,1,0,0,0,0,2.05571518,2.238022507,1.672209941,-1.521917042,1.371735817,-1,0,0,0,0,0,0,0,1,1,1,1
93,60,20.57384615,Lavis & Mitchell (2006),9,2,1,0.595588493,0.074507308,0,1,1,0,0,0,0,2.05571518,2.238022507,1.672209941,-1.521917042,1.371735817,-1,0,0,0,0,0,0,0,1,1,1,1
